# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.170,0.109,1.180,-0.388,0.004,-0.547,-0.013,-49.140
0.191,0.109,1.175,-0.428,0.136,-0.586,0.079,-50.555
0.212,0.109,1.149,-0.403,0.258,-0.554,-0.161,-38.204
0.233,0.109,1.113,-0.341,0.342,-0.474,-0.010,-25.235
0.255,0.109,1.078,-0.272,0.384,-0.385,-0.026,-15.222
0.276,0.109,1.052,-0.214,0.398,-0.312,0.032,-9.465
0.297,0.109,1.031,-0.164,0.399,-0.250,0.039,-5.987
0.318,0.109,1.018,-0.128,0.390,-0.204,-0.107,-3.959
0.339,0.109,1.007,-0.100,0.375,-0.165,0.028,-2.552
-0.339,0.123,1.008,0.096,0.351,-0.148,-0.047,-1.686
-0.318,0.123,1.023,0.133,0.361,-0.194,0.096,-3.061
-0.297,0.123,1.035,0.164,0.365,-0.233,-0.043,-4.409
-0.276,0.123,1.052,0.200,0.355,-0.274,-0.017,-6.304
-0.255,0.123,1.078,0.256,0.341,-0.344,-0.044,-10.521
-0.233,0.123,1.105,0.304,0.298,-0.402,-0.078,-15.775
-0.212,0.123,1.131,0.342,0.226,-0.450,0.117,-21.427
-0.191,0.123,1.148,0.354,0.141,-0.467,0.180,-26.243
-0.170,0.123,1.151,0.321,0.051,-0.434,0.001,-24.047
-0.148,0.123,1.142,0.249,-0.022,-0.368,0.069,-17.221
-0.127,0.123,1.130,0.186,-0.051,-0.316,0.009,-11.601
-0.106,0.123,1.118,0.132,-0.058,-0.271,-0.031,-7.226
-0.085,0.123,1.106,0.085,-0.051,-0.236,-0.043,-3.940
-0.064,0.123,1.099,0.054,-0.041,-0.215,-0.024,-2.280
-0.042,0.123,1.095,0.034,-0.033,-0.202,-0.064,-1.197
-0.021,0.123,1.092,0.017,-0.027,-0.195,0.087,-0.775
0.000,0.123,1.091,0.000,-0.027,-0.193,0.000,-0.502
0.021,0.123,1.092,-0.017,-0.027,-0.195,-0.087,-0.776
0.042,0.123,1.095,-0.034,-0.033,-0.202,0.064,-1.201
0.064,0.123,1.099,-0.054,-0.041,-0.215,0.024,-2.286
0.085,0.123,1.106,-0.085,-0.051,-0.236,0.043,-3.948
0.106,0.123,1.118,-0.132,-0.058,-0.272,0.031,-7.235
0.127,0.123,1.130,-0.186,-0.051,-0.316,-0.009,-11.606
0.148,0.123,1.142,-0.249,-0.022,-0.369,-0.070,-17.219
0.170,0.123,1.152,-0.321,0.051,-0.435,-0.002,-24.061
0.191,0.123,1.148,-0.354,0.141,-0.467,-0.182,-26.277
0.212,0.123,1.131,-0.342,0.226,-0.450,-0.116,-21.448
0.233,0.123,1.104,-0.304,0.298,-0.402,0.078,-15.756
0.255,0.123,1.078,-0.256,0.341,-0.344,0.043,-10.492
0.276,0.123,1.052,-0.200,0.355,-0.274,0.017,-6.289
0.297,0.123,1.035,-0.164,0.365,-0.233,0.043,-4.404
0.318,0.123,1.023,-0.133,0.361,-0.194,-0.096,-3.061
0.339,0.123,1.012,-0.106,0.355,-0.162,0.061,-2.011
-0.339,0.138,1.012,0.100,0.334,-0.145,-0.062,-1.340
-0.318,0.138,1.026,0.133,0.337,-0.186,0.079,-2.319
-0.297,0.138,1.039,0.162,0.335,-0.218,-0.003,-3.408
-0.276,0.138,1.054,0.196,0.324,-0.257,-0.032,-4.732
-0.255,0.138,1.072,0.228,0.300,-0.292,0.070,-6.577
-0.233,0.138,1.094,0.263,0.258,-0.333,-0.088,-9.357
-0.212,0.138,1.111,0.283,0.204,-0.358,0.044,-11.105
